bin	n	rel_diff_mean	rel_diff_median	rel_diff_p95	abs_diff_mean	abs_diff_median	pct_sig_py	pct_sig_rust	sig_agreement_pct
3	7330	0.0000	0.0000	0.0000	0.0000	0.0000	0.1910	0.1910	100.0000
4	12910	0.0000	0.0000	0.0000	0.0000	0.0000	1.2703	1.2703	100.0000
5	5598	0.0000	0.0000	0.0000	0.0000	0.0000	1.3934	1.3934	100.0000
6	3858	0.0000	0.0000	0.0000	0.0000	0.0000	8.5018	8.5018	100.0000
7	4860	0.0000	0.0000	0.0000	0.0000	0.0000	4.7531	4.7531	100.0000
8	2857	0.0000	0.0000	0.0000	0.0000	0.0000	5.2503	5.2503	100.0000
9	2098	0.0000	0.0000	0.0000	0.0000	0.0000	5.0048	5.0048	100.0000
10	6654	0.0000	0.0000	0.0000	0.0000	0.0000	3.9525	3.9525	100.0000
11-15	1310	0.0000	0.0000	0.0000	0.0000	0.0000	10.5344	10.5344	100.0000
16-20	620	0.0000	0.0000	0.0000	0.0000	0.0000	12.9032	12.9032	100.0000
21-30	226	0.0000	0.0000	0.0000	0.0000	0.0000	13.7168	13.7168	100.0000
31-50	81	0.0000	0.0000	0.0000	0.0000	0.0000	6.1728	6.1728	100.0000
51-100	19	0.0000	0.0000	0.0000	0.0000	0.0000	10.5263	10.5263	100.0000
101-200	5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000
