bin	n	rel_diff_mean	rel_diff_median	rel_diff_p95	abs_diff_mean	abs_diff_median	pct_sig_py	pct_sig_rust	sig_agreement_pct
5	1322	0.1957	0.1581	0.6544	0.1037	0.1180	0.3026	0.3026	100.0000
6	1364	90333.3575	0.2049	1.0967	0.1381	0.1496	3.8123	0.5865	96.7742
7	1370	2546.2796	0.2504	1.8066	0.1567	0.1713	2.9197	0.1460	97.2263
8	1522	44182.4838	0.2696	1.3854	0.1655	0.1792	3.9422	0.7884	96.8463
9	2570	32134.1847	0.3544	1.4085	0.1991	0.2250	2.8016	0.7004	97.8988
10	18414	571604866.0746	0.4193	2.9496	0.2066	0.2235	3.8015	0.4670	96.6656
11-15	4320	23.7153	0.2804	6.1091	0.1739	0.1160	5.8333	1.1111	95.2778
16-20	19200	95.9795	0.5208	7.8608	0.2560	0.2618	5.5312	0.3854	94.8542
21-30	22718	7783.2117	0.4722	8.3159	0.2232	0.1903	7.7736	1.0828	93.3093
31-50	5692	1.1550	0.1097	3.5031	0.0948	0.0291	9.0302	5.5517	96.5214
51-100	7156	3.8749	0.4874	7.8707	0.2498	0.2033	6.8195	2.4595	95.6400
101-200	16678	3.2779	0.4334	7.2992	0.2214	0.1780	6.8473	1.7268	94.8795
201-500	928	0.0674	0.0203	0.2593	0.0093	0.0044	13.7931	12.9310	99.1379
