bin	n	rel_diff_mean	rel_diff_median	rel_diff_p95	abs_diff_mean	abs_diff_median	pct_sig_py	pct_sig_rust	sig_agreement_pct
5	1322	0.0000	0.0000	0.0000	0.0000	0.0000	0.3026	0.3026	100.0000
6	1364	0.0003	0.0000	0.0000	0.0000	0.0000	3.8123	3.8123	100.0000
7	1370	0.0000	0.0000	0.0000	0.0000	0.0000	2.9197	2.9197	100.0000
8	1522	0.0002	0.0000	0.0000	0.0000	0.0000	3.9422	3.9422	100.0000
9	2570	0.0002	0.0000	0.0000	0.0000	0.0000	2.8016	2.8016	100.0000
10	18414	0.0004	0.0000	0.0000	0.0000	0.0000	3.8015	3.8015	100.0000
11-15	4320	0.0000	0.0000	0.0000	0.0000	0.0000	5.8333	5.8333	100.0000
16-20	19200	0.0000	0.0000	0.0000	0.0000	0.0000	5.5312	5.5312	100.0000
21-30	22718	0.0002	0.0000	0.0000	0.0000	0.0000	7.7736	7.7736	100.0000
31-50	5692	0.0000	0.0000	0.0000	0.0000	0.0000	9.0302	9.0302	100.0000
51-100	7156	0.0000	0.0000	0.0000	0.0000	0.0000	6.8195	6.8195	100.0000
101-200	16678	0.0000	0.0000	0.0000	0.0000	0.0000	6.8473	6.8473	100.0000
201-500	928	0.0000	0.0000	0.0000	0.0000	0.0000	13.7931	13.7931	100.0000
